class,id,name,screen_name,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,lang,time_zone,location,default_profile,default_profile_image,geo_enabled,profile_image_url,profile_use_background_image,profile_background_image_url_https,profile_text_color,profile_image_url_https,profile_sidebar_border_color,profile_background_tile,profile_sidebar_fill_color,profile_background_image_url,profile_background_color,profile_link_color,utc_offset,is_translator,follow_request_sent,protected,verified,notifications,description,contributors_enabled,following,created_at
bot,461277906,04 Limited Sazabys,04LS_nagoya,10728,379139,2949,1,3406,https://t.co/6z3deSPyKp,,,Nagoya/Japan,False,False,False,http://pbs.twimg.com/profile_images/1332985449011245056/IVGesBGs_normal.jpg,False,https://abs.twimg.com/images/themes/theme1/bg.png,000000,https://pbs.twimg.com/profile_images/1332985449011245056/IVGesBGs_normal.jpg,000000,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,000000,1B95E0,,False,False,False,True,False,04 Limited Sazabysの公式Twitter。2008年名古屋で結成。ライブなどの最新情報を世界最速でお届けしマス。https://t.co/UzsvhqSZlu @04GENLS @hirokaz04ls @ogaryu69 @kouhei04ls,False,False,2012-01-11 16:49:07
bot,808280162,㌐わんた : にょほほほほ,0gn,141143,26048,337,26670,32,,,,さいたまけん,True,False,False,http://pbs.twimg.com/profile_images/1227270020851326976/9ZTT3zcU_normal.jpg,True,https://abs.twimg.com/images/themes/theme1/bg.png,333333,https://pbs.twimg.com/profile_images/1227270020851326976/9ZTT3zcU_normal.jpg,C0DEED,False,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,1DA1F2,,False,False,False,False,False,ロードバイク乗ってるよ。主に江戸サイで生活してます☺️,False,False,2012-09-07 06:01:38
bot,1575510320,حومة فكر,0k__2,180426,120558,108607,454,79,,,,i!,True,False,True,http://pbs.twimg.com/profile_images/750442834092756993/9zFuOGI9_normal.jpg,True,https://abs.twimg.com/images/themes/theme1/bg.png,333333,https://pbs.twimg.com/profile_images/750442834092756993/9zFuOGI9_normal.jpg,C0DEED,False,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,1DA1F2,,False,False,False,False,False,البايــو اللي أنتم خابرينه,False,False,2013-07-07 16:15:19
bot,2449235599,アホウドリ,0ts__,13046,26258,18,3889,1,,,,ミシシッピ川の端の方,True,False,False,http://pbs.twimg.com/profile_images/1232849054171709442/x0Qzt_8E_normal.jpg,True,https://abs.twimg.com/images/themes/theme1/bg.png,333333,https://pbs.twimg.com/profile_images/1232849054171709442/x0Qzt_8E_normal.jpg,C0DEED,False,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,1DA1F2,,False,False,True,False,False,,False,False,2014-04-17 07:07:00
bot,1113769100,♚ رحـــــــــالــــ♚,100rahal100,72434,75208,78570,13374,35,https://t.co/0zcm8lFZNz,,,,False,False,False,http://pbs.twimg.com/profile_images/920786496222846976/CrgAzCV3_normal.jpg,True,https://abs.twimg.com/images/themes/theme7/bg.gif,634047,https://pbs.twimg.com/profile_images/920786496222846976/CrgAzCV3_normal.jpg,FFFFFF,True,E3E2DE,http://abs.twimg.com/images/themes/theme7/bg.gif,EBEBEB,2620E0,,False,False,False,False,False,‏‏‎‎‎‎‎‎ ‎‎‎@messfer20,False,False,2013-01-23 07:53:14
bot,973224960,★１０倍返し素材集★,10baigaeshida,542,28247,2275,0,26,,,,,True,False,False,http://pbs.twimg.com/profile_images/378800000373357473/711fdc62ca3c8c8969335e88c93dba2a_normal.jpeg,True,https://abs.twimg.com/images/themes/theme1/bg.png,333333,https://pbs.twimg.com/profile_images/378800000373357473/711fdc62ca3c8c8969335e88c93dba2a_normal.jpeg,C0DEED,False,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,1DA1F2,,False,False,False,False,False,衝撃を受けるつぶやきをしていきます。このつぶやきをRTして、周りに笑い・恐怖・感動・感謝を１０倍返しだ！フォロー大歓迎です(≧▽≦),False,False,2012-11-27 04:16:16
bot,194908659,112Twente.nl,112Twente,84947,106196,991,2,674,http://t.co/ULLLHgGJvd,,,Twente,False,False,True,http://pbs.twimg.com/profile_images/877130476934369280/pmpj9-uK_normal.jpg,True,https://abs.twimg.com/images/themes/theme1/bg.png,333333,https://pbs.twimg.com/profile_images/877130476934369280/pmpj9-uK_normal.jpg,000000,True,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,False,False,False,False,False,"24 uur per dag nieuws uit de regio! Heeft u nieuws, tips of beelden? Mail naar nieuws@112twente.nl of tip ons via onze apps!",False,False,2010-09-25 08:40:25
bot,17187236,12 News,12News,409136,218822,8932,20385,1518,https://t.co/D6UdXqsaH2,,,"Arizona, USA",False,False,True,http://pbs.twimg.com/profile_images/968094190063136768/cHeX6ASU_normal.jpg,True,https://abs.twimg.com/images/themes/theme14/bg.gif,333333,https://pbs.twimg.com/profile_images/968094190063136768/cHeX6ASU_normal.jpg,EEEEEE,True,EFEFEF,http://abs.twimg.com/images/themes/theme14/bg.gif,131516,009999,,False,False,False,True,False,"At 12 News, we listen, we seek, and we solve for the people of #Arizona. News tip? connect@12news.com or call/text 602-444-1212. A TEGNA company.",False,False,2008-11-05 12:15:42
bot,456177793,140journos 🐮,140journos,70641,294197,92,2366,1102,,,,,False,False,True,http://pbs.twimg.com/profile_images/1310335108877033472/HKfUeONY_normal.jpg,True,https://abs.twimg.com/images/themes/theme1/bg.png,333333,https://pbs.twimg.com/profile_images/1310335108877033472/HKfUeONY_normal.jpg,C0DEED,True,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,89C9FA,FF004B,,False,False,False,True,False,"140journos’tan 3 yeni bölüm killa, coğrafya kader ve kısmen iktidar youtube’da; 2 yeni bölüm tosuncuk ve ohash exxen’de yayında.",False,False,2012-01-05 23:38:58
bot,92985467,１６４,164203,14210,128958,41836,18579,1697,https://t.co/nSvNWxX2RZ,,,お仕事ご連絡先：164203.com@gmail.com,False,False,True,http://pbs.twimg.com/profile_images/1275541816243150848/a1iBcq4i_normal.jpg,True,https://abs.twimg.com/images/themes/theme16/bg.gif,333333,https://pbs.twimg.com/profile_images/1275541816243150848/a1iBcq4i_normal.jpg,FFFFFF,False,DDFFCC,http://abs.twimg.com/images/themes/theme16/bg.gif,9AE4E8,3B94DC,,False,False,False,True,False,YouTube⇨https://t.co/WP4J0BPnsj｜ niconico⇨https://t.co/wcgU5Jf8QS｜ 公式LINE⇨https://t.co/eT06xqDtnK｜Composer・Guitarist・VOCALOID,False,False,2009-11-27 15:07:53
